study_hours,attendance,previous_score,sleep_hours,extra_activities,internet_access,final_score,result
2.9,82.6,68.6,6.0,Yes,No,32.0,Fail
3.9,93.5,72.5,6.5,No,Yes,37.1,Fail
2.6,86.1,72.1,5.1,Yes,No,41.7,Pass
8.9,76.3,66.1,8.5,No,No,65.7,Pass
5.1,63.3,76.1,8.8,No,Yes,33.8,Fail
3.6,75.5,72.2,6.7,Yes,Yes,56.2,Pass
5.4,67.8,46.4,7.7,Yes,Yes,52.9,Pass
4.8,71.0,78.0,6.7,Yes,Yes,61.8,Pass
4.6,85.1,78.3,4.9,No,No,58.6,Pass
6.2,98.0,53.6,6.0,No,Yes,75.2,Pass
6.5,82.7,65.6,6.7,No,Yes,51.0,Pass
3.9,63.6,75.2,6.0,Yes,Yes,47.3,Pass
3.8,83.3,61.9,6.2,No,No,35.8,Fail
4.4,92.4,81.1,6.4,No,No,50.0,Pass
0.4,70.7,100.0,6.4,No,Yes,58.6,Pass
2.0,76.4,53.2,6.6,No,Yes,22.2,Fail
7.7,78.2,44.3,5.2,Yes,Yes,42.5,Pass
8.3,68.6,69.6,5.6,Yes,Yes,72.3,Pass
4.5,85.8,75.8,5.0,Yes,Yes,62.9,Pass
6.2,76.5,61.5,7.7,Yes,Yes,50.2,Pass
5.6,83.0,86.8,4.0,Yes,Yes,66.1,Pass
11.2,67.4,44.9,7.9,Yes,Yes,65.2,Pass
7.2,72.8,75.4,8.2,Yes,Yes,75.6,Pass
4.7,86.7,55.9,6.1,No,Yes,47.4,Pass
3.1,73.5,90.8,3.4,No,Yes,56.6,Pass
1.8,98.7,94.9,6.1,No,Yes,79.1,Pass
5.4,73.2,53.5,6.4,No,Yes,50.9,Pass
3.5,80.7,56.8,5.3,Yes,Yes,43.5,Pass
2.2,89.2,77.9,5.9,No,Yes,53.4,Pass
3.7,61.0,59.2,8.3,Yes,Yes,38.8,Fail
2.8,56.9,64.3,7.3,No,No,56.1,Pass
8.4,59.7,65.4,5.4,Yes,Yes,56.9,Pass
6.8,93.2,36.2,4.6,No,Yes,44.4,Pass
5.0,71.4,64.8,6.1,Yes,Yes,40.0,Pass
8.0,100.0,54.7,6.2,Yes,Yes,72.6,Pass
5.2,71.2,57.6,7.1,No,Yes,54.5,Pass
3.3,80.2,86.7,5.9,Yes,Yes,46.9,Pass
8.0,96.5,46.2,7.1,No,Yes,62.8,Pass
6.1,100.0,77.2,8.8,No,Yes,48.2,Pass
2.9,100.0,60.8,7.5,No,Yes,49.3,Pass
4.6,92.5,60.8,6.4,No,Yes,54.1,Pass
3.2,90.3,76.9,6.3,No,Yes,66.6,Pass
2.2,85.1,70.1,6.1,Yes,Yes,37.3,Fail
6.9,87.3,73.6,7.9,No,Yes,47.7,Pass
8.8,71.4,79.5,5.7,No,No,47.8,Pass
2.2,68.2,60.0,6.6,No,Yes,22.9,Fail
6.1,78.0,55.8,6.6,Yes,Yes,64.5,Pass
3.7,76.0,48.7,5.9,No,No,49.1,Pass
4.0,72.6,52.6,4.9,No,Yes,42.0,Pass
3.8,86.4,100.0,6.9,No,Yes,70.1,Pass
3.3,89.5,83.7,6.4,No,Yes,53.1,Pass
5.1,79.1,44.7,7.1,Yes,No,39.6,Fail
3.3,95.7,45.2,5.9,Yes,No,35.0,Fail
5.5,64.3,72.2,8.0,No,Yes,47.1,Pass
4.9,75.7,73.2,5.4,No,Yes,33.5,Fail
4.5,69.4,73.2,8.6,No,Yes,52.1,Pass
3.2,55.6,61.2,4.4,Yes,Yes,35.9,Fail
3.8,77.0,63.1,7.0,No,Yes,52.0,Pass
6.5,76.5,69.9,7.1,No,Yes,55.6,Pass
6.0,96.2,66.3,5.5,No,Yes,53.8,Pass
3.0,85.6,31.7,7.0,No,Yes,26.2,Fail
5.2,65.7,61.6,8.0,Yes,Yes,49.2,Pass
6.5,100.0,52.2,3.8,No,Yes,59.3,Pass
1.7,92.7,67.6,7.1,Yes,Yes,34.2,Fail
6.1,85.0,100.0,3.5,No,No,56.9,Pass
3.7,75.3,70.5,5.3,Yes,Yes,48.7,Pass
6.1,66.5,60.3,8.5,No,Yes,42.3,Pass
3.5,73.5,78.8,5.8,Yes,Yes,42.4,Pass
1.4,91.1,72.2,5.1,No,Yes,44.0,Pass
1.7,100.0,71.3,6.3,No,No,29.5,Fail
5.1,96.5,74.1,9.0,No,Yes,62.2,Pass
5.5,72.1,95.8,4.3,Yes,Yes,48.6,Pass
3.2,64.6,48.0,5.2,Yes,Yes,46.0,Pass
6.3,79.7,72.1,8.3,Yes,Yes,82.1,Pass
1.7,56.8,51.1,8.7,No,No,17.7,Fail
4.9,81.9,73.3,6.4,Yes,Yes,58.9,Pass
2.6,76.2,51.2,5.0,No,Yes,27.9,Fail
3.7,72.4,58.7,9.0,No,Yes,54.2,Pass
5.1,58.9,60.6,8.4,No,Yes,32.0,Fail
3.3,84.2,79.6,7.3,No,No,49.9,Pass
4.2,71.6,78.8,5.5,No,Yes,38.9,Fail
7.0,64.0,46.3,6.4,Yes,No,40.2,Pass
3.8,43.5,65.8,6.3,No,Yes,26.0,Fail
6.7,77.7,54.4,6.9,No,Yes,59.0,Pass
2.7,99.3,46.1,8.2,Yes,Yes,36.6,Fail
6.1,97.9,61.7,7.6,No,Yes,62.4,Pass
7.9,72.5,60.4,5.2,No,Yes,49.7,Pass
0.1,70.8,100.0,8.2,No,Yes,43.1,Pass
3.4,83.6,71.5,6.9,Yes,Yes,50.9,Pass
6.2,66.0,44.3,7.3,No,Yes,36.1,Fail
4.6,81.6,56.5,8.3,Yes,Yes,51.6,Pass
5.7,87.2,80.3,5.2,Yes,Yes,73.5,Pass
3.8,92.7,96.3,6.5,No,Yes,50.2,Pass
5.2,76.8,41.2,5.9,No,Yes,52.8,Pass
4.7,75.6,36.8,4.6,No,Yes,51.6,Pass
7.3,67.5,93.1,6.9,Yes,No,50.4,Pass
5.5,68.1,70.8,9.5,No,Yes,37.7,Fail
5.7,75.3,52.0,4.3,No,No,41.8,Pass
4.2,82.4,73.0,6.5,Yes,Yes,46.1,Pass
4.0,89.0,25.5,7.3,No,Yes,55.9,Pass
4.1,68.4,65.1,6.6,Yes,Yes,45.9,Pass
5.8,95.9,69.9,6.4,No,Yes,48.7,Pass
4.2,74.7,78.9,4.9,No,Yes,36.4,Fail
5.6,77.7,49.8,6.8,Yes,Yes,58.9,Pass
9.2,69.0,66.3,5.6,Yes,Yes,54.6,Pass
6.7,48.9,51.1,3.9,Yes,Yes,42.0,Pass
4.3,88.6,68.8,7.9,Yes,Yes,63.1,Pass
7.4,86.8,51.6,7.7,No,No,45.2,Pass
4.2,74.6,58.9,6.6,No,Yes,43.1,Pass
0.9,78.8,50.1,6.8,Yes,Yes,34.1,Fail
3.0,84.2,74.8,7.8,Yes,Yes,57.1,Pass
1.3,59.2,77.9,6.8,No,Yes,42.8,Pass
4.3,71.7,61.5,7.6,No,Yes,42.7,Pass
5.0,87.5,65.6,6.1,Yes,Yes,53.3,Pass
8.4,62.9,43.3,8.1,Yes,No,43.3,Pass
5.7,81.5,60.5,6.9,No,Yes,35.7,Fail
4.6,61.7,64.2,6.7,Yes,Yes,47.8,Pass
6.7,83.6,100.0,5.0,Yes,No,79.9,Pass
0.6,77.6,48.3,6.8,No,No,16.7,Fail
5.5,58.6,87.0,5.5,No,Yes,43.0,Pass
6.5,92.0,80.0,5.7,No,No,46.5,Pass
2.0,69.2,69.2,5.5,No,Yes,44.8,Pass
7.3,68.3,91.4,5.2,No,No,59.1,Pass
5.7,80.4,70.6,9.0,Yes,Yes,55.8,Pass
4.2,91.8,70.8,8.1,Yes,Yes,45.7,Pass
6.3,65.8,64.2,8.8,Yes,Yes,54.3,Pass
9.5,78.7,83.4,5.0,Yes,Yes,52.5,Pass
5.4,83.1,81.4,6.6,No,Yes,57.4,Pass
5.5,86.3,55.6,4.9,No,Yes,56.4,Pass
4.1,80.1,45.2,5.7,No,Yes,27.1,Fail
3.3,73.6,62.0,5.4,No,Yes,25.0,Fail
6.7,68.1,53.0,8.0,Yes,Yes,66.8,Pass
3.3,79.0,64.0,6.0,Yes,Yes,38.7,Fail
5.1,65.1,83.6,7.8,No,Yes,63.8,Pass
4.0,42.9,58.1,7.2,No,Yes,33.8,Fail
6.0,83.2,64.4,9.3,No,No,48.8,Pass
5.7,88.8,65.9,4.7,No,Yes,56.2,Pass
7.1,49.6,77.7,8.0,No,Yes,44.2,Pass
4.0,65.9,31.3,7.9,No,Yes,35.1,Fail
4.5,85.4,55.9,5.3,Yes,Yes,43.1,Pass
3.0,100.0,68.2,7.7,No,Yes,37.0,Fail
4.1,78.2,83.0,6.9,No,Yes,55.0,Pass
5.8,69.3,57.6,6.2,Yes,No,40.6,Pass
6.5,75.8,36.9,5.5,No,Yes,41.4,Pass
3.2,94.5,74.3,5.6,Yes,Yes,39.0,Fail
6.7,70.2,55.5,9.0,No,Yes,67.2,Pass
7.7,68.4,47.2,6.5,Yes,No,54.6,Pass
5.8,72.2,55.6,7.4,No,Yes,57.2,Pass
8.8,66.6,62.2,5.6,Yes,Yes,54.3,Pass
3.5,79.5,55.9,5.6,No,Yes,23.5,Fail
2.5,97.5,31.9,7.8,Yes,Yes,58.8,Pass
1.4,81.9,78.5,4.9,Yes,Yes,42.5,Pass
8.0,75.0,84.1,6.0,No,Yes,54.5,Pass
6.3,74.5,74.8,6.5,No,No,53.6,Pass
4.9,59.2,47.9,6.6,Yes,Yes,52.1,Pass
5.6,88.6,62.0,6.3,Yes,Yes,53.6,Pass
2.7,77.1,64.9,7.0,No,Yes,54.6,Pass
9.9,75.8,74.0,7.3,No,Yes,77.0,Pass
5.3,100.0,75.0,7.4,No,Yes,48.0,Pass
5.2,81.6,54.0,5.3,Yes,Yes,40.8,Pass
6.5,69.0,66.2,6.2,No,Yes,60.4,Pass
6.0,72.9,71.9,7.9,Yes,Yes,28.6,Fail
5.4,91.8,86.8,7.6,Yes,Yes,61.3,Pass
3.4,79.4,75.6,4.9,No,Yes,31.3,Fail
5.9,60.7,76.8,6.9,No,No,41.0,Pass
8.8,89.0,66.3,4.1,No,Yes,57.7,Pass
7.7,70.0,86.2,6.6,Yes,Yes,59.5,Pass
8.2,100.0,71.1,8.8,No,Yes,62.2,Pass
4.0,91.0,52.1,5.4,No,Yes,32.8,Fail
3.0,72.6,86.1,5.5,No,No,64.4,Pass
4.7,93.4,75.5,7.4,Yes,Yes,76.2,Pass
5.1,78.8,58.4,4.6,Yes,Yes,35.5,Fail
7.2,88.2,57.8,5.7,Yes,Yes,72.5,Pass
1.6,83.8,69.4,7.2,No,Yes,37.8,Fail
8.1,67.8,71.9,5.7,Yes,Yes,59.8,Pass
4.7,70.3,68.0,6.2,No,Yes,45.6,Pass
4.1,90.4,69.7,7.4,Yes,No,41.6,Pass
3.0,74.0,90.5,7.0,No,No,54.5,Pass
1.7,73.2,81.1,6.8,Yes,Yes,45.8,Pass
6.6,66.5,67.9,6.1,No,Yes,46.1,Pass
5.1,83.1,79.1,6.9,No,No,36.7,Fail
2.4,100.0,49.5,6.4,Yes,Yes,34.5,Fail
2.4,65.2,71.0,7.0,No,Yes,23.4,Fail
4.3,78.3,92.1,5.9,No,Yes,54.1,Pass
8.3,94.9,61.7,6.3,No,No,44.5,Pass
4.5,77.0,52.3,5.3,No,No,34.1,Fail
2.0,83.4,55.2,6.5,Yes,Yes,53.6,Pass
4.5,65.3,48.7,5.5,Yes,Yes,51.9,Pass
4.5,83.1,53.2,5.2,Yes,Yes,45.1,Pass
0.0,75.8,59.4,6.8,Yes,Yes,32.7,Fail
4.9,89.8,43.9,6.8,Yes,Yes,65.9,Pass
4.5,92.2,65.2,7.4,Yes,Yes,58.7,Pass
6.4,100.0,78.5,6.0,No,Yes,58.5,Pass
8.7,85.0,51.4,7.0,No,No,38.5,Fail
7.3,81.9,87.8,7.2,Yes,Yes,69.9,Pass
4.5,80.3,72.7,7.0,Yes,Yes,60.7,Pass
2.8,73.8,80.5,5.5,No,Yes,38.2,Fail
10.1,82.1,55.1,6.7,Yes,Yes,67.0,Pass
5.1,74.5,77.8,6.9,Yes,Yes,50.5,Pass
5.0,80.0,48.6,6.5,Yes,No,39.2,Fail
5.0,93.8,78.4,4.0,No,No,24.1,Fail
5.4,65.9,67.6,6.7,No,Yes,45.4,Pass
4.7,91.7,73.3,9.2,Yes,Yes,67.9,Pass
3.9,93.8,47.4,6.1,No,No,32.2,Fail
3.9,76.6,51.6,5.6,No,Yes,40.5,Pass
4.9,52.5,74.0,6.9,No,Yes,37.4,Fail
3.9,70.7,50.8,6.9,No,Yes,43.1,Pass
3.6,93.6,71.9,7.9,No,No,44.5,Pass
5.2,77.7,44.5,5.0,Yes,Yes,34.0,Fail
4.5,66.0,77.7,7.4,Yes,Yes,64.0,Pass
8.0,71.9,46.5,7.2,No,No,55.4,Pass
0.0,88.1,73.3,6.3,No,Yes,32.3,Fail
7.2,84.6,74.4,6.9,No,Yes,64.9,Pass
7.5,75.1,54.5,7.7,No,Yes,58.7,Pass
0.9,73.6,73.7,7.5,No,No,40.1,Pass
4.3,73.3,68.9,5.1,Yes,Yes,30.1,Fail
4.3,66.9,56.9,7.5,No,No,47.3,Pass
2.2,97.4,49.9,6.4,No,Yes,34.6,Fail
3.4,74.1,35.6,6.6,No,Yes,30.4,Fail
2.8,92.6,70.2,6.6,No,No,68.6,Pass
8.5,96.3,41.5,6.3,No,Yes,59.3,Pass
6.9,90.0,66.4,7.9,Yes,Yes,57.2,Pass
7.5,72.8,61.0,6.4,No,Yes,31.3,Fail
6.4,82.8,75.2,5.2,Yes,Yes,71.6,Pass
2.7,77.7,60.5,6.0,No,Yes,26.2,Fail
4.0,67.2,60.1,6.7,No,Yes,31.5,Fail
6.0,81.9,76.0,8.0,Yes,Yes,56.0,Pass
2.6,63.9,70.0,7.2,No,No,49.1,Pass
6.4,92.3,69.7,5.5,No,Yes,64.4,Pass
4.5,72.4,72.0,9.5,No,No,44.1,Pass
4.3,80.4,42.0,6.8,Yes,Yes,45.5,Pass
6.4,81.4,76.4,8.0,No,Yes,52.5,Pass
5.9,74.9,74.2,6.3,No,Yes,54.4,Pass
4.3,85.0,49.7,7.1,No,Yes,44.9,Pass
7.3,72.3,61.3,7.5,Yes,Yes,65.6,Pass
2.8,88.5,64.4,8.0,No,Yes,55.5,Pass
6.2,61.8,63.0,7.8,No,No,48.7,Pass
6.2,79.5,70.0,7.5,Yes,No,48.4,Pass
4.4,100.0,86.5,6.1,Yes,Yes,67.7,Pass
5.7,66.0,81.2,5.8,Yes,No,47.8,Pass
2.5,69.9,45.3,6.9,No,Yes,22.6,Fail
6.8,84.2,74.3,7.6,No,Yes,55.3,Pass
4.6,80.2,84.9,6.2,No,No,49.4,Pass
4.0,82.2,70.8,7.8,Yes,Yes,60.7,Pass
7.1,83.9,81.4,8.2,No,Yes,61.1,Pass
3.6,85.6,95.2,5.4,Yes,Yes,44.1,Pass
2.2,91.3,80.4,5.5,Yes,Yes,49.6,Pass
1.9,82.9,68.7,6.3,No,Yes,42.5,Pass
6.2,75.1,80.7,6.9,Yes,Yes,60.3,Pass
2.4,86.1,67.2,5.9,No,No,47.0,Pass
8.5,100.0,65.4,8.1,Yes,Yes,78.4,Pass
0.8,76.4,59.7,7.0,No,Yes,28.5,Fail
8.4,66.3,88.5,6.5,No,Yes,56.7,Pass
5.4,91.3,52.7,4.8,No,Yes,37.2,Fail
4.8,76.6,88.0,4.9,Yes,Yes,61.8,Pass
3.9,51.9,72.5,6.8,Yes,Yes,57.7,Pass
5.8,88.2,44.0,3.9,No,No,36.4,Fail
4.9,71.6,70.5,7.7,Yes,No,44.0,Pass
7.2,76.9,33.5,6.3,No,No,54.8,Pass
5.2,82.0,74.4,10.0,No,No,56.5,Pass
5.3,80.3,78.3,9.3,Yes,Yes,63.1,Pass
4.3,86.5,56.1,6.3,Yes,No,30.7,Fail
4.9,72.8,66.9,6.4,No,Yes,54.2,Pass
5.6,84.2,94.3,7.7,No,Yes,52.5,Pass
1.6,74.9,57.4,8.5,No,Yes,25.9,Fail
2.3,86.9,49.1,4.5,No,Yes,32.4,Fail
6.5,85.4,87.2,4.4,No,Yes,53.6,Pass
5.3,66.8,94.4,5.8,Yes,No,49.5,Pass
4.6,91.0,65.1,7.2,No,Yes,36.9,Fail
5.0,71.6,80.2,7.1,No,Yes,61.6,Pass
5.7,87.7,85.1,7.8,Yes,Yes,73.6,Pass
3.9,82.4,53.9,5.1,Yes,Yes,24.1,Fail
3.4,100.0,57.7,3.7,Yes,Yes,56.0,Pass
5.4,75.3,83.5,7.5,Yes,Yes,49.5,Pass
3.0,73.8,90.3,5.5,No,Yes,56.6,Pass
5.8,77.8,73.4,4.1,Yes,Yes,52.3,Pass
1.6,74.4,51.8,6.7,Yes,Yes,35.9,Fail
7.1,87.6,94.8,7.5,Yes,Yes,67.3,Pass
5.9,58.6,57.0,6.4,No,Yes,56.0,Pass
5.5,65.4,60.0,6.0,No,Yes,32.5,Fail
7.0,65.2,70.1,6.3,No,Yes,58.7,Pass
8.3,89.4,88.3,6.1,Yes,Yes,80.9,Pass
7.0,98.5,77.8,4.9,No,Yes,69.0,Pass
1.3,76.7,71.2,5.6,No,Yes,61.3,Pass
2.4,76.0,71.9,7.1,Yes,Yes,39.6,Fail
3.8,78.8,65.7,6.9,Yes,Yes,57.3,Pass
5.1,91.9,73.4,6.7,Yes,Yes,55.9,Pass
6.0,66.9,27.1,5.3,Yes,Yes,50.5,Pass
3.5,80.9,60.6,6.3,No,No,38.1,Fail
5.4,89.7,68.6,3.9,No,No,42.2,Pass
3.5,84.0,47.7,6.7,No,Yes,53.6,Pass
3.8,80.3,70.8,8.2,No,Yes,44.0,Pass
2.2,90.0,61.9,4.7,No,Yes,26.2,Fail
3.2,45.6,91.3,5.8,No,No,32.0,Fail
2.3,86.1,88.6,6.9,No,No,51.1,Pass
3.0,70.2,58.0,8.0,Yes,Yes,55.9,Pass
7.1,56.0,62.7,6.0,Yes,No,46.2,Pass
3.1,84.1,63.9,5.7,No,Yes,56.4,Pass
10.3,94.5,58.2,4.1,Yes,Yes,52.5,Pass
6.0,76.4,67.9,6.6,Yes,Yes,49.6,Pass
5.4,89.4,53.6,9.0,No,Yes,48.7,Pass
3.3,97.3,48.0,6.8,No,No,37.3,Fail
6.4,93.8,74.3,6.5,No,Yes,60.3,Pass
3.8,97.7,74.4,6.9,No,Yes,60.0,Pass
5.2,86.9,52.9,6.5,No,No,38.2,Fail
10.1,78.9,78.4,5.5,No,No,63.4,Pass
4.8,58.8,55.5,7.5,No,Yes,40.8,Pass
7.3,75.0,68.8,6.8,No,Yes,46.8,Pass
3.6,67.9,77.3,6.5,No,Yes,44.3,Pass
4.9,100.0,64.5,5.3,No,Yes,50.9,Pass
8.5,75.9,71.8,8.1,No,No,55.5,Pass
3.7,79.5,57.3,7.3,No,No,38.8,Fail
8.6,84.6,62.1,5.8,Yes,Yes,62.1,Pass
6.4,78.5,61.9,7.7,Yes,Yes,50.8,Pass
3.9,98.3,53.8,5.9,Yes,Yes,61.0,Pass
6.3,70.5,62.3,5.6,No,No,32.1,Fail
6.9,80.3,41.8,5.6,Yes,Yes,41.7,Pass
6.2,69.1,57.6,4.4,Yes,Yes,75.4,Pass
1.9,62.2,60.7,7.1,No,Yes,24.2,Fail
3.5,70.7,61.2,4.3,Yes,Yes,27.3,Fail
4.5,77.6,61.4,5.0,No,Yes,51.7,Pass
4.9,72.8,64.1,4.0,Yes,Yes,25.4,Fail
6.2,69.7,72.2,6.4,No,No,44.7,Pass
5.4,61.1,78.1,6.3,No,No,65.7,Pass
2.3,77.0,55.3,6.1,No,Yes,21.4,Fail
5.8,59.9,47.0,5.2,No,Yes,19.9,Fail
6.2,87.1,49.4,5.1,No,Yes,33.3,Fail
6.1,79.0,57.7,7.1,Yes,Yes,61.4,Pass
7.2,60.5,59.7,5.8,Yes,Yes,61.7,Pass
6.7,74.3,53.5,6.9,Yes,No,41.5,Pass
5.9,69.0,45.6,5.4,No,Yes,48.9,Pass
4.9,81.8,58.2,6.7,No,Yes,61.2,Pass
1.7,94.1,67.7,8.1,No,No,57.9,Pass
5.9,55.5,73.9,7.2,Yes,No,43.5,Pass
5.4,79.4,56.6,6.0,No,Yes,24.0,Fail
5.5,76.1,58.8,6.8,No,Yes,39.8,Fail
2.4,86.1,51.1,6.2,No,Yes,34.0,Fail
2.8,80.6,64.5,6.5,No,Yes,39.8,Fail
7.1,69.0,52.3,6.1,Yes,Yes,48.5,Pass
4.9,74.2,73.6,6.3,No,Yes,60.8,Pass
6.4,68.4,38.2,6.8,No,No,50.3,Pass
5.1,90.9,59.6,5.3,Yes,Yes,49.5,Pass
5.1,78.3,69.5,5.3,Yes,Yes,62.0,Pass
6.9,100.0,67.8,4.8,No,Yes,62.4,Pass
4.0,77.3,100.0,4.6,No,Yes,54.6,Pass
5.2,69.5,70.2,5.0,No,No,51.1,Pass
4.1,59.8,49.9,6.7,Yes,Yes,39.6,Fail
4.1,56.4,63.6,5.4,No,Yes,59.5,Pass
4.4,59.0,38.4,7.1,No,Yes,20.2,Fail
5.4,81.2,63.8,6.5,No,Yes,45.0,Pass
4.0,84.1,52.5,4.1,No,Yes,39.6,Fail
7.5,59.0,78.7,7.3,Yes,Yes,62.6,Pass
3.2,88.7,56.8,7.5,No,Yes,57.0,Pass
4.6,72.2,63.2,5.3,Yes,Yes,45.9,Pass
4.1,79.8,55.5,7.0,No,Yes,29.7,Fail
7.9,97.3,91.1,5.5,No,No,72.3,Pass
5.4,88.8,60.2,6.6,No,No,53.6,Pass
7.1,74.8,92.5,5.0,No,Yes,41.3,Pass
2.0,67.3,77.2,4.3,No,Yes,38.2,Fail
5.5,52.2,72.2,6.0,No,Yes,29.3,Fail
6.8,69.4,70.5,6.4,No,Yes,46.7,Pass
5.2,75.5,70.9,6.0,No,Yes,40.7,Pass
7.1,66.2,36.1,5.1,No,No,44.9,Pass
4.0,76.4,60.8,6.0,No,No,39.5,Fail
7.8,78.9,77.7,6.8,Yes,Yes,50.4,Pass
9.6,75.3,64.3,6.4,No,Yes,70.1,Pass
4.3,70.2,43.9,6.7,Yes,No,21.0,Fail
4.1,80.0,64.2,5.7,No,No,43.6,Pass
7.9,83.3,90.6,7.9,Yes,Yes,61.5,Pass
8.2,64.9,83.7,5.1,No,Yes,55.4,Pass
4.0,94.9,64.1,7.1,No,Yes,55.1,Pass
4.2,76.8,79.3,7.9,No,Yes,56.7,Pass
4.4,78.2,59.5,7.1,No,Yes,59.1,Pass
2.3,86.5,39.4,6.3,Yes,Yes,35.8,Fail
3.2,80.8,51.1,5.9,Yes,Yes,44.1,Pass
3.0,89.4,88.4,7.7,Yes,Yes,51.2,Pass
3.5,81.4,60.9,4.8,No,Yes,43.7,Pass
4.9,70.7,61.3,5.3,No,Yes,48.5,Pass
5.5,82.3,60.5,6.0,No,No,43.2,Pass
8.1,64.3,93.6,8.0,Yes,No,43.4,Pass
3.0,79.3,89.4,7.0,Yes,Yes,56.0,Pass
7.0,77.6,98.3,5.3,No,Yes,66.8,Pass
4.6,75.5,62.6,6.1,No,No,33.8,Fail
4.9,76.5,69.4,5.8,No,Yes,35.6,Fail
6.3,55.4,42.3,5.6,No,Yes,53.8,Pass
2.8,71.4,87.2,7.7,No,Yes,53.0,Pass
5.8,79.1,47.5,4.9,Yes,Yes,44.0,Pass
5.3,79.9,68.3,8.4,No,Yes,41.4,Pass
6.0,65.7,48.5,7.5,No,No,31.3,Fail
5.6,93.2,56.2,7.8,Yes,Yes,67.8,Pass
9.9,67.6,52.4,5.9,No,Yes,57.6,Pass
3.7,89.6,55.9,6.3,Yes,No,36.1,Fail
3.9,83.1,56.9,4.8,No,Yes,47.4,Pass
3.8,70.2,56.8,5.9,Yes,Yes,33.7,Fail
3.9,99.3,77.5,7.1,No,Yes,69.9,Pass
3.7,63.7,48.4,8.1,Yes,Yes,53.2,Pass
7.4,89.0,68.3,5.2,No,Yes,53.5,Pass
7.8,90.0,83.3,6.1,No,Yes,58.7,Pass
3.9,70.0,57.3,6.3,No,Yes,14.5,Fail
3.3,94.7,54.2,4.8,No,Yes,27.8,Fail
5.9,75.0,61.5,7.2,No,Yes,36.7,Fail
3.9,81.5,82.7,5.6,Yes,Yes,53.8,Pass
6.3,81.1,67.9,6.3,Yes,Yes,52.6,Pass
5.4,76.4,57.0,6.0,Yes,Yes,34.9,Fail
2.0,87.7,72.3,5.6,No,Yes,40.4,Pass
8.1,87.5,48.5,6.5,Yes,No,57.3,Pass
8.6,57.0,75.2,6.2,No,Yes,62.1,Pass
3.8,93.7,71.1,6.1,No,Yes,31.3,Fail
4.2,58.1,60.4,5.6,Yes,Yes,39.6,Fail
5.6,90.4,52.4,6.9,Yes,Yes,38.2,Fail
5.7,91.5,51.7,8.5,Yes,Yes,63.0,Pass
6.3,64.9,73.0,6.7,No,No,54.6,Pass
9.0,73.1,83.4,7.7,Yes,No,54.0,Pass
4.6,64.7,55.4,4.8,Yes,Yes,33.7,Fail
3.4,75.4,71.9,6.7,No,Yes,40.7,Pass
2.2,74.3,33.7,5.2,No,Yes,6.0,Fail
3.5,87.4,56.2,4.7,Yes,Yes,47.3,Pass
4.9,93.7,64.5,5.6,Yes,Yes,50.3,Pass
8.6,94.7,51.4,7.9,Yes,Yes,72.5,Pass
4.0,71.3,51.0,7.6,No,No,24.7,Fail
5.4,75.5,55.0,6.8,No,Yes,40.2,Pass
5.0,57.8,69.4,4.7,Yes,Yes,29.9,Fail
7.4,68.3,62.2,6.3,Yes,Yes,44.2,Pass
10.1,89.6,31.4,6.9,No,Yes,45.2,Pass
3.9,97.4,33.2,6.7,No,Yes,50.7,Pass
4.0,63.2,55.9,4.3,Yes,No,26.9,Fail
7.1,70.9,71.9,5.4,No,Yes,55.2,Pass
6.4,77.7,23.8,6.4,Yes,Yes,38.4,Fail
8.7,81.4,57.5,7.1,Yes,Yes,48.1,Pass
6.2,68.3,57.1,3.9,No,Yes,43.0,Pass
4.3,83.1,85.8,6.3,No,No,54.7,Pass
6.2,72.3,59.2,6.7,No,Yes,37.1,Fail
7.2,77.8,70.7,7.5,No,Yes,65.9,Pass
6.6,84.6,67.1,7.3,No,No,42.9,Pass
6.0,78.1,33.0,7.2,No,Yes,37.8,Fail
7.1,72.8,76.5,5.5,No,Yes,61.3,Pass
7.3,76.7,68.2,4.2,No,Yes,47.1,Pass
7.8,76.9,72.6,6.0,No,No,53.8,Pass
6.3,73.6,100.0,7.7,Yes,Yes,61.9,Pass
4.7,74.9,33.7,8.2,No,Yes,40.4,Pass
5.3,97.2,90.9,7.4,No,Yes,39.1,Fail
7.4,84.7,60.7,7.0,No,Yes,38.3,Fail
3.4,74.5,69.3,7.0,Yes,Yes,52.8,Pass
5.7,86.4,64.3,5.8,No,Yes,62.2,Pass
4.2,74.0,58.6,6.3,No,Yes,33.9,Fail
5.1,92.1,56.5,8.5,Yes,Yes,51.3,Pass
7.6,82.4,69.9,5.4,No,Yes,60.7,Pass
5.4,76.7,42.2,8.4,Yes,Yes,53.4,Pass
5.1,83.4,76.3,6.1,Yes,No,29.9,Fail
2.3,59.1,58.8,8.1,No,Yes,26.6,Fail
6.5,64.5,48.0,4.8,No,Yes,39.5,Fail
6.3,63.7,58.2,7.2,No,Yes,54.5,Pass
9.3,79.7,83.9,5.6,Yes,Yes,93.6,Pass
4.4,98.8,57.0,4.8,No,No,40.5,Pass
5.4,100.0,70.4,6.8,Yes,No,40.1,Pass
5.5,85.7,54.0,7.7,Yes,No,50.8,Pass
8.2,84.0,76.4,5.5,Yes,Yes,77.2,Pass
4.8,56.4,75.3,4.7,No,Yes,44.9,Pass
5.6,71.5,92.7,6.4,No,Yes,47.8,Pass
